Candidate,VPAP link,Pro-candidate IE,Anti-candidate IE,Race,Gender,Age,Education,Military background,Occupation,First year in office (current chamber),Won / Lost,Incumbent status during election,Total raised
Jeion Ward,https://www.vpap.org/candidates/67410,0.0,0,African-American,Female,66,Bachelors Degree,Non-Military,"Educators / Teacher Union Official, Hampton Federation of Teachers",2004.0,True,True,130168.0
Lashrecse Aird,https://www.vpap.org/candidates/158632,0.0,0,African-American,Female,33,Bachelors Degree,Non-Military,"Educators / Higher Ed staff, Richard Bland College",2016.0,True,True,110148.0
Gordon Helsel,https://www.vpap.org/candidates/74818,0.0,0,Caucasian,Male,72,Community College/Trade School,Veteran,Business People / Retired Seafood Packing,2011.0,True,True,83817.0
Matt Fariss,https://www.vpap.org/candidates/198425,0.0,0,Caucasian,Male,51,High School or Less,Non-Military,"Farmers/Agriculture / Farmer/Livestock, Lynchburg Livestock Market",2012.0,True,True,101205.0
Margaret Ransone,https://www.vpap.org/candidates/85821,0.0,0,Caucasian,Female,46,Bachelors Degree,Non-Military,"Farmers/Agriculture / Seafood, Bevans Oyster Co",2012.0,True,True,295429.0
Heather Cordasco,https://www.vpap.org/candidates/177209,0.0,0,,,,,,,,False,False,840554.0
Rob Bell,https://www.vpap.org/candidates/33167,0.0,0,Caucasian,Male,52,Law Degree,Non-Military,"Lawyers / Attorney, Davidson & Kitzmann PLC",2002.0,True,True,631264.0
Chris Jones,https://www.vpap.org/candidates/26133,0.0,0,Caucasian,Male,61,Bachelors Degree,Non-Military,"Medical Professions / Pharmacist, Bennett's Creek Pharmacy",1998.0,True,True,680084.0
Cliff Hayes,https://www.vpap.org/candidates/151974,0.0,0,African-American,Male,52,Master's Degree,Non-Military,"Public Employees / Public Employee, Norfolk Sheriff's Office",2016.0,True,True,66012.0
Riley Ingram,https://www.vpap.org/candidates/30,0.0,0,Caucasian,Male,78,High School or Less,Veteran,"Business People / Real Estate Management, Ingram & Associates Real Estate Inc",1992.0,True,True,249452.0
Shelly Simonds,https://www.vpap.org/candidates/106052,0.0,0,Caucasian,Female,52,Master's Degree,Non-Military,Other / Property Manager,2020.0,False,False,576954.0
Edward Whitlock,https://www.vpap.org/candidates/156499,0.0,0,,,,,,,,False,False,526718.0
Cori Johnson,https://www.vpap.org/candidates/291336,0.0,0,,,,,,,,False,False,29609.0
David Toscano,https://www.vpap.org/candidates/6713,0.0,0,Caucasian,Male,69,Doctorate,Non-Military,"Lawyers / Attorney, Buck Toscano & Tereskerz Ltd",2006.0,True,True,597461.0
David Yancey,https://www.vpap.org/candidates/165088,0.0,0,Caucasian,Male,47,Bachelors Degree,Non-Military,"Business People / Real Estate Developer, JP Yancey Partnership",2012.0,True,True,663964.0
